指標,有上學期作品_n,有上學期作品_平均,有上學期作品_中位數,未見上學期作品_n,未見上學期作品_平均,未見上學期作品_中位數,平均差_有減未,中位數差_有減未,Cliffs_delta,精確秩排列_p
媒體豐富度,13,3.5384615384615383,4.0,5,3.4,4.0,0.1384615384615384,0.0,0.09230769230769231,0.9229691876750701
排版架構,13,2.8461538461538463,3.0,5,2.8,3.0,0.046153846153846434,0.0,0.046153846153846156,1.0
總字數,13,3802.230769230769,4053.0,5,4227.2,2150.0,-424.96923076923076,1903.0,0.23076923076923078,0.5028011204481793
術語密度,13,26.47923076923077,26.54,5,28.645999999999997,33.12,-2.1667692307692263,-6.579999999999998,-0.2,0.5662931839402428
批判思考比例,13,12.669230769230769,12.5,5,13.979999999999999,10.2,-1.31076923076923,2.3000000000000007,0.015384615384615385,0.9834267040149393
