指標,名單內_平均,名單內_中位數,名單外_平均,名單外_中位數,平均差_內減外,中位數差_內減外,Cliffs_delta,精確秩排列_p
媒體豐富度,3.0,3.0,2.6666666666666665,3.0,0.3333333333333335,0.0,0.23809523809523808,0.5022703818369453
排版架構,2.7857142857142856,3.0,2.6666666666666665,3.0,0.11904761904761907,0.0,0.11904761904761904,1.0
總字數,5012.428571428572,4796.5,3269.8333333333335,2992.5,1742.595238095238,1804.0,0.35714285714285715,0.2391124871001032
專有名詞絕對次數,139.78571428571428,151.5,110.83333333333333,102.0,28.95238095238095,49.5,0.27380952380952384,0.3625128998968008
主題涵蓋數（/11）,7.857142857142857,8.5,6.5,6.5,1.3571428571428568,2.0,0.34523809523809523,0.24179566563467492
內容發展指數（探索性）,57.38095238095237,59.16666666666667,41.11111111111111,37.08333333333333,16.269841269841265,22.083333333333343,0.42857142857142855,0.14811661506707946
