階段,指標,名單內_n,名單外_n,平均差_內減外,中位數差_內減外,Cliffs_delta
第一個網頁作業,媒體豐富度,13,5,0.12307692307692308,0.0,0.07692307692307693
期末報告,媒體豐富度,13,5,0.7846153846153845,2.0,0.46153846153846156
第一個網頁作業,排版架構,13,5,0.046153846153846434,0.0,0.046153846153846156
期末報告,排版架構,13,5,0.046153846153846434,0.0,0.046153846153846156
第一個網頁作業,總字數,13,5,1851.0923076923077,2546.0,0.38461538461538464
期末報告,總字數,13,5,-424.96923076923076,1903.0,0.23076923076923078
第一個網頁作業,批判思考比例,13,5,2.343076923076924,0.5,0.26153846153846155
期末報告,批判思考比例,13,5,-1.31076923076923,2.3000000000000007,0.015384615384615385
