指標,名單內_n,名單內_平均,名單內_中位數,名單外_n,名單外_平均,名單外_中位數,平均差_內減外,中位數差_內減外,Cliffs_delta,精確秩排列_p
媒體豐富度,14,3.2857142857142856,3.0,6,3.0,3.0,0.2857142857142856,0.0,0.23809523809523808,0.4199174406604747
排版架構,14,2.7857142857142856,3.0,6,2.6666666666666665,3.0,0.11904761904761907,0.0,0.11904761904761904,1.0
總字數,14,5012.428571428572,4796.5,6,3269.8333333333335,2992.5,1742.595238095238,1804.0,0.35714285714285715,0.2391124871001032
術語密度,14,30.708571428571428,33.31,6,36.70666666666667,34.85,-5.998095238095242,-1.5399999999999991,-0.23809523809523808,0.4441692466460268
批判思考比例,14,9.507142857142856,8.8,6,6.966666666666666,8.05,2.5404761904761903,0.75,0.2857142857142857,0.35304437564499486
